method,fit_intercept,fit_slope_per_active,v6_expected_matches,max_abs_err_vs_v6,comm_mb_min,comm_mb_max,active_min,active_max,n,model,het
fedit,1.6733676862722562e-12,262.4999999999998,True,0.0,2362.5,2625.0,9,10,20,l3,a01
ffa_lora,5.104560730911498e-13,110.24999999999994,True,0.0,992.25,1102.5,9,10,20,l3,a01
flora,1.6733676862722562e-12,262.4999999999998,True,0.0,2362.5,2625.0,9,10,20,l3,a01
fedit,0.0,262.5,True,0.0,2625.0,2625.0,10,10,3,l3,iid
ffa_lora,0.0,110.25,True,0.0,1102.5,1102.5,10,10,3,l3,iid
flora,0.0,262.5,True,0.0,2625.0,2625.0,10,10,3,l3,iid
fedit,8.104982952631208e-13,257.8124999999999,True,0.0,2320.3125,2578.125,9,10,20,tl,a01
ffa_lora,-1.4159811795265587e-14,98.31250000000001,True,0.0,884.8125,983.125,9,10,20,tl,a01
flora,8.104982952631208e-13,257.8124999999999,True,0.0,2320.3125,2578.125,9,10,20,tl,a01
fedit,0.0,257.8125,True,0.0,2578.125,2578.125,10,10,20,tl,a05
ffa_lora,0.0,98.3125,True,0.0,983.125,983.125,10,10,20,tl,a05
flora,0.0,257.8125,True,0.0,2578.125,2578.125,10,10,20,tl,a05
fedit,0.0,257.8125,True,0.0,2578.125,2578.125,10,10,5,tl,iid
ffa_lora,0.0,98.3125,True,0.0,983.125,983.125,10,10,5,tl,iid
flora,0.0,257.8125,True,0.0,2578.125,2578.125,10,10,5,tl,iid
