het,method,mean,sd,n,model
a01,fedit,1.6962304938660275,0.003825948336896539,20,tl
a01,ffa_lora,1.7192333901964036,0.0025507672968388432,20,tl
a01,flora,1.6956779277407974,0.0013407117180528649,20,tl
a05,fedit,1.6917572772324512,0.000551024381098439,20,tl
a05,ffa_lora,1.718315549856064,0.0012859027595202872,20,tl
a05,flora,1.69393977640591,0.0005722435898464058,20,tl
iid,fedit,1.6929210626606366,0.00034110720590991596,5,tl
iid,ffa_lora,1.721764457526079,0.00011810454986225877,5,tl
iid,flora,1.6943702505668294,0.0002483365586787374,5,tl
a01,fedit,1.8044591271571462,0.007692597699904202,20,l3
a01,ffa_lora,1.8349676224780527,0.0034890568238526553,20,l3
a01,flora,1.8037848868080846,0.002921036481635018,20,l3
iid,fedit,1.789947680992004,0.00048328715296546446,3,l3
iid,ffa_lora,1.8357646726112635,0.00015555600551789143,3,l3
iid,flora,1.804136178818994,0.0008140880012947363,3,l3
