k,protocol,pair,true_gap,prob_order_flip,wilson_lo,wilson_hi,single_draw_sign_flips,single_draw_n,B,ref_order,model,label
1,paired,fedit-ffa_lora,-0.030633314007398438,0.0,0.0,0.00038399837067659573,0,20,10000,flora>fedit>ffa_lora,l3,I10_p10
1,paired,fedit-flora,0.0006998103146327317,0.7001,0.6910437299753479,0.7090025938767072,14,20,10000,flora>fedit>ffa_lora,l3,I10_p10
1,paired,ffa_lora-flora,0.03133312432203117,0.0,0.0,0.00038399837067659573,0,20,10000,flora>fedit>ffa_lora,l3,I10_p10
1,unpaired,fedit-ffa_lora,-0.030633314007398438,0.0,0.0,0.00038399837067659573,0,20,10000,flora>fedit>ffa_lora,l3,I10_p10
1,unpaired,fedit-flora,0.0006998103146327317,0.5987,0.5890568801524899,0.6082673185691386,14,20,10000,flora>fedit>ffa_lora,l3,I10_p10
1,unpaired,ffa_lora-flora,0.03133312432203117,0.0,0.0,0.00038399837067659573,0,20,10000,flora>fedit>ffa_lora,l3,I10_p10
2,paired,fedit-ffa_lora,-0.030633314007398438,0.0,0.0,0.00038399837067659573,0,20,10000,flora>fedit>ffa_lora,l3,I10_p10
2,paired,fedit-flora,0.0006998103146327317,0.5271,0.5173060519174596,0.5368731353708497,14,20,10000,flora>fedit>ffa_lora,l3,I10_p10
2,paired,ffa_lora-flora,0.03133312432203117,0.0,0.0,0.00038399837067659573,0,20,10000,flora>fedit>ffa_lora,l3,I10_p10
2,unpaired,fedit-ffa_lora,-0.030633314007398438,0.0,0.0,0.00038399837067659573,0,20,10000,flora>fedit>ffa_lora,l3,I10_p10
2,unpaired,fedit-flora,0.0006998103146327317,0.5215,0.5117028647537613,0.5312806233162995,14,20,10000,flora>fedit>ffa_lora,l3,I10_p10
2,unpaired,ffa_lora-flora,0.03133312432203117,0.0,0.0,0.00038399837067659573,0,20,10000,flora>fedit>ffa_lora,l3,I10_p10
3,paired,fedit-ffa_lora,-0.030633314007398438,0.0,0.0,0.00038399837067659573,0,20,10000,flora>fedit>ffa_lora,l3,I10_p10
3,paired,fedit-flora,0.0006998103146327317,0.4904,0.48060755362858504,0.5001998191401319,14,20,10000,flora>fedit>ffa_lora,l3,I10_p10
3,paired,ffa_lora-flora,0.03133312432203117,0.0,0.0,0.00038399837067659573,0,20,10000,flora>fedit>ffa_lora,l3,I10_p10
3,unpaired,fedit-ffa_lora,-0.030633314007398438,0.0,0.0,0.00038399837067659573,0,20,10000,flora>fedit>ffa_lora,l3,I10_p10
3,unpaired,fedit-flora,0.0006998103146327317,0.4761,0.46632243483492897,0.4858959202871893,14,20,10000,flora>fedit>ffa_lora,l3,I10_p10
3,unpaired,ffa_lora-flora,0.03133312432203117,0.0,0.0,0.00038399837067659573,0,20,10000,flora>fedit>ffa_lora,l3,I10_p10
