data_seed,active_clients,effective_clients,discarded_trailing_samples,gini_client_sizes,mean_js_divergence,partition_mean_heldout_loss,model
2001,10,9,58,0.49453333333333327,0.3318464966095761,1.7017945892441133,tl
2002,10,10,60,0.37306666666666666,0.32613108134935453,1.7047138311101342,tl
2003,10,9,60,0.4671333333333332,0.3487763099698979,1.7077327233288335,tl
2004,10,10,43,0.3275999999999999,0.3409607059842483,1.702718975541386,tl
2005,9,9,27,0.24029629629629623,0.29594687497869804,1.7038744395325105,tl
2006,10,10,36,0.2830666666666666,0.3000552910939105,1.703982373357879,tl
2007,10,10,48,0.3918666666666666,0.2669250936907168,1.7004093365596267,tl
2008,9,7,56,0.4582962962962962,0.3038831484064595,1.7007646462051706,tl
2009,10,9,45,0.5519333333333332,0.34467825405090696,1.7055565234651777,tl
2010,10,10,29,0.2491333333333332,0.377843232862442,1.7055919343325965,tl
2001,10,9,72,0.49453333333333327,0.3318464966095761,1.812508532152467,l3
2002,10,10,88,0.37306666666666666,0.32613108134935453,1.8151802155900978,l3
2003,10,9,73,0.4671333333333332,0.3487763099698979,1.8193175432202828,l3
2004,10,10,57,0.3275999999999999,0.3409607059842483,1.8120548829468148,l3
2005,9,9,41,0.24029629629629623,0.29594687497869804,1.8134798295911978,l3
2006,10,10,104,0.2830666666666666,0.3000552910939105,1.8139292622543375,l3
