statistic,spearman_rho,spearman_p,n,model
active_clients,0.34815531191139565,0.32420418355343317,10,tl
effective_clients,0.08710327732246503,0.8109006233998169,10,tl
discarded_trailing_samples,0.0,1.0,10,tl
gini_client_sizes,-0.04242424242424241,0.907363817812816,10,tl
mean_js_divergence,0.7212121212121211,0.018573155089460208,10,tl
active_clients,0.13093073414159545,0.8047261622231061,6,l3
effective_clients,-0.09759000729485333,0.8540797033781717,6,l3
discarded_trailing_samples,0.6,0.20799999999999982,6,l3
gini_client_sizes,0.14285714285714288,0.7871720116618075,6,l3
mean_js_divergence,0.08571428571428573,0.8717434402332361,6,l3
