kind,pair,delta,n_paired,n_unpaired_per_method,sd_pair_model,sd_unpair_model,model,sd_pair_empirical_mean
preregistered_delta,,0.005,5,7,0.002817071597837107,0.002839295658139786,tl,0.00275646299410407
preregistered_delta,,0.01,3,3,0.002817071597837107,0.002839295658139786,tl,0.00275646299410407
preregistered_delta,,0.02,3,2,0.002817071597837107,0.002839295658139786,tl,0.00275646299410407
preregistered_delta,,0.05,2,2,0.002817071597837107,0.002839295658139786,tl,0.00275646299410407
observed_gap,fedit-ffa_lora,-0.023002896330376554,3,2,0.002817071597837107,0.002839295658139786,tl,0.00275646299410407
observed_gap,fedit-flora,0.0005525661252296921,206,416,0.002817071597837107,0.002839295658139786,tl,0.00275646299410407
observed_gap,ffa_lora-flora,0.023555462455606246,3,2,0.002817071597837107,0.002839295658139786,tl,0.00275646299410407
preregistered_delta,,0.005,10,11,0.004729651838195696,0.0038033514579407686,l3,0.0046089168870206915
preregistered_delta,,0.01,5,4,0.004729651838195696,0.0038033514579407686,l3,0.0046089168870206915
preregistered_delta,,0.02,3,3,0.004729651838195696,0.0038033514579407686,l3,0.0046089168870206915
preregistered_delta,,0.05,3,2,0.004729651838195696,0.0038033514579407686,l3,0.0046089168870206915
observed_gap,fedit-ffa_lora,-0.03267526636362872,3,2,0.004729651838195696,0.0038033514579407686,l3,0.0046089168870206915
observed_gap,fedit-flora,-0.0020142354476995195,46,57,0.004729651838195696,0.0038033514579407686,l3,0.0046089168870206915
observed_gap,ffa_lora-flora,0.0306610309159292,3,2,0.004729651838195696,0.0038033514579407686,l3,0.0046089168870206915
