k,protocol,event,prob,wilson_lo,wilson_hi,ref_order,B,model
1,paired,best,0.555,0.5452403769372559,0.5647173832419697,flora>fedit>ffa_lora,10000,tl
1,paired,full_order,0.555,0.5452403769372559,0.5647173832419697,flora>fedit>ffa_lora,10000,tl
1,unpaired,best,0.5116,0.5018002435975278,0.5213908476402727,flora>fedit>ffa_lora,10000,tl
1,unpaired,full_order,0.5116,0.5018002435975278,0.5213908476402727,flora>fedit>ffa_lora,10000,tl
2,paired,best,0.4059,0.39631321027627114,0.4155590582170901,flora>fedit>ffa_lora,10000,tl
2,paired,full_order,0.4059,0.39631321027627114,0.4155590582170901,flora>fedit>ffa_lora,10000,tl
2,unpaired,best,0.4656,0.4558384789159863,0.4753879401719162,flora>fedit>ffa_lora,10000,tl
2,unpaired,full_order,0.4656,0.4558384789159863,0.4753879401719162,flora>fedit>ffa_lora,10000,tl
3,paired,best,0.3769,0.3674508042467174,0.3864437361521431,flora>fedit>ffa_lora,10000,tl
3,paired,full_order,0.3769,0.3674508042467174,0.3864437361521431,flora>fedit>ffa_lora,10000,tl
3,unpaired,best,0.4098,0.4001973877580898,0.4194718855479802,flora>fedit>ffa_lora,10000,tl
3,unpaired,full_order,0.4098,0.4001973877580898,0.4194718855479802,flora>fedit>ffa_lora,10000,tl
5,paired,best,0.2837,0.2749489848887331,0.29261713280642154,flora>fedit>ffa_lora,10000,tl
5,paired,full_order,0.2837,0.2749489848887331,0.29261713280642154,flora>fedit>ffa_lora,10000,tl
5,unpaired,best,0.3552,0.34587736351517673,0.36463384241297114,flora>fedit>ffa_lora,10000,tl
5,unpaired,full_order,0.3552,0.34587736351517673,0.36463384241297114,flora>fedit>ffa_lora,10000,tl
1,paired,best,0.1684,0.16119303779949118,0.1758616299199415,fedit>flora>ffa_lora,10000,l3
1,paired,full_order,0.1684,0.16119303779949118,0.1758616299199415,fedit>flora>ffa_lora,10000,l3
1,unpaired,best,0.2254,0.21731671876593306,0.23369417313924248,fedit>flora>ffa_lora,10000,l3
1,unpaired,full_order,0.2254,0.21731671876593306,0.23369417313924248,fedit>flora>ffa_lora,10000,l3
2,paired,best,0.2721,0.26346610357089767,0.2809089228864567,fedit>flora>ffa_lora,10000,l3
2,paired,full_order,0.2721,0.26346610357089767,0.2809089228864567,fedit>flora>ffa_lora,10000,l3
2,unpaired,best,0.2848,0.2760382564514514,0.2937270164472877,fedit>flora>ffa_lora,10000,l3
2,unpaired,full_order,0.2848,0.2760382564514514,0.2937270164472877,fedit>flora>ffa_lora,10000,l3
3,paired,best,0.2866,0.2778208397427062,0.2955430507618985,fedit>flora>ffa_lora,10000,l3
3,paired,full_order,0.2866,0.2778208397427062,0.2955430507618985,fedit>flora>ffa_lora,10000,l3
3,unpaired,best,0.2363,0.22807614855901792,0.2447263721816769,fedit>flora>ffa_lora,10000,l3
3,unpaired,full_order,0.2363,0.22807614855901792,0.2447263721816769,fedit>flora>ffa_lora,10000,l3
