k,protocol,pair,true_gap,prob_order_flip,wilson_lo,wilson_hi,single_draw_sign_flips,single_draw_n,B,ref_order,model
1,paired,fedit-ffa_lora,-0.023002896330376554,0.0,0.0,0.00038399837067659573,0,20,10000,flora>fedit>ffa_lora,tl
1,paired,fedit-flora,0.0005525661252296921,0.555,0.5452403769372559,0.5647173832419697,11,20,10000,flora>fedit>ffa_lora,tl
1,paired,ffa_lora-flora,0.023555462455606246,0.0,0.0,0.00038399837067659573,0,20,10000,flora>fedit>ffa_lora,tl
1,unpaired,fedit-ffa_lora,-0.023002896330376554,0.0,0.0,0.00038399837067659573,0,20,10000,flora>fedit>ffa_lora,tl
1,unpaired,fedit-flora,0.0005525661252296921,0.5116,0.5018002435975278,0.5213908476402727,11,20,10000,flora>fedit>ffa_lora,tl
1,unpaired,ffa_lora-flora,0.023555462455606246,0.0,0.0,0.00038399837067659573,0,20,10000,flora>fedit>ffa_lora,tl
2,paired,fedit-ffa_lora,-0.023002896330376554,0.0,0.0,0.00038399837067659573,0,20,10000,flora>fedit>ffa_lora,tl
2,paired,fedit-flora,0.0005525661252296921,0.4059,0.39631321027627114,0.4155590582170901,11,20,10000,flora>fedit>ffa_lora,tl
2,paired,ffa_lora-flora,0.023555462455606246,0.0,0.0,0.00038399837067659573,0,20,10000,flora>fedit>ffa_lora,tl
2,unpaired,fedit-ffa_lora,-0.023002896330376554,0.0,0.0,0.00038399837067659573,0,20,10000,flora>fedit>ffa_lora,tl
2,unpaired,fedit-flora,0.0005525661252296921,0.4656,0.4558384789159863,0.4753879401719162,11,20,10000,flora>fedit>ffa_lora,tl
2,unpaired,ffa_lora-flora,0.023555462455606246,0.0,0.0,0.00038399837067659573,0,20,10000,flora>fedit>ffa_lora,tl
3,paired,fedit-ffa_lora,-0.023002896330376554,0.0,0.0,0.00038399837067659573,0,20,10000,flora>fedit>ffa_lora,tl
3,paired,fedit-flora,0.0005525661252296921,0.3769,0.3674508042467174,0.3864437361521431,11,20,10000,flora>fedit>ffa_lora,tl
3,paired,ffa_lora-flora,0.023555462455606246,0.0,0.0,0.00038399837067659573,0,20,10000,flora>fedit>ffa_lora,tl
3,unpaired,fedit-ffa_lora,-0.023002896330376554,0.0,0.0,0.00038399837067659573,0,20,10000,flora>fedit>ffa_lora,tl
3,unpaired,fedit-flora,0.0005525661252296921,0.4098,0.4001973877580898,0.4194718855479802,11,20,10000,flora>fedit>ffa_lora,tl
3,unpaired,ffa_lora-flora,0.023555462455606246,0.0,0.0,0.00038399837067659573,0,20,10000,flora>fedit>ffa_lora,tl
5,paired,fedit-ffa_lora,-0.023002896330376554,0.0,0.0,0.00038399837067659573,0,20,10000,flora>fedit>ffa_lora,tl
5,paired,fedit-flora,0.0005525661252296921,0.2837,0.2749489848887331,0.29261713280642154,11,20,10000,flora>fedit>ffa_lora,tl
5,paired,ffa_lora-flora,0.023555462455606246,0.0,0.0,0.00038399837067659573,0,20,10000,flora>fedit>ffa_lora,tl
5,unpaired,fedit-ffa_lora,-0.023002896330376554,0.0,0.0,0.00038399837067659573,0,20,10000,flora>fedit>ffa_lora,tl
5,unpaired,fedit-flora,0.0005525661252296921,0.3552,0.34587736351517673,0.36463384241297114,11,20,10000,flora>fedit>ffa_lora,tl
5,unpaired,ffa_lora-flora,0.023555462455606246,0.0,0.0,0.00038399837067659573,0,20,10000,flora>fedit>ffa_lora,tl
1,paired,fedit-ffa_lora,-0.03267526636362872,0.0,0.0,0.00038399837067659573,0,12,10000,fedit>flora>ffa_lora,l3
1,paired,fedit-flora,-0.0020142354476995195,0.1684,0.16119303779949118,0.1758616299199415,2,12,10000,fedit>flora>ffa_lora,l3
1,paired,ffa_lora-flora,0.0306610309159292,0.0,0.0,0.00038399837067659573,0,12,10000,fedit>flora>ffa_lora,l3
1,unpaired,fedit-ffa_lora,-0.03267526636362872,0.0,0.0,0.00038399837067659573,0,12,10000,fedit>flora>ffa_lora,l3
1,unpaired,fedit-flora,-0.0020142354476995195,0.2254,0.21731671876593306,0.23369417313924248,2,12,10000,fedit>flora>ffa_lora,l3
1,unpaired,ffa_lora-flora,0.0306610309159292,0.0,0.0,0.00038399837067659573,0,12,10000,fedit>flora>ffa_lora,l3
2,paired,fedit-ffa_lora,-0.03267526636362872,0.0,0.0,0.00038399837067659573,0,12,10000,fedit>flora>ffa_lora,l3
2,paired,fedit-flora,-0.0020142354476995195,0.2721,0.26346610357089767,0.2809089228864567,2,12,10000,fedit>flora>ffa_lora,l3
2,paired,ffa_lora-flora,0.0306610309159292,0.0,0.0,0.00038399837067659573,0,12,10000,fedit>flora>ffa_lora,l3
2,unpaired,fedit-ffa_lora,-0.03267526636362872,0.0,0.0,0.00038399837067659573,0,12,10000,fedit>flora>ffa_lora,l3
2,unpaired,fedit-flora,-0.0020142354476995195,0.2848,0.2760382564514514,0.2937270164472877,2,12,10000,fedit>flora>ffa_lora,l3
2,unpaired,ffa_lora-flora,0.0306610309159292,0.0,0.0,0.00038399837067659573,0,12,10000,fedit>flora>ffa_lora,l3
3,paired,fedit-ffa_lora,-0.03267526636362872,0.0,0.0,0.00038399837067659573,0,12,10000,fedit>flora>ffa_lora,l3
3,paired,fedit-flora,-0.0020142354476995195,0.2866,0.2778208397427062,0.2955430507618985,2,12,10000,fedit>flora>ffa_lora,l3
3,paired,ffa_lora-flora,0.0306610309159292,0.0,0.0,0.00038399837067659573,0,12,10000,fedit>flora>ffa_lora,l3
3,unpaired,fedit-ffa_lora,-0.03267526636362872,0.0,0.0,0.00038399837067659573,0,12,10000,fedit>flora>ffa_lora,l3
3,unpaired,fedit-flora,-0.0020142354476995195,0.2363,0.22807614855901792,0.2447263721816769,2,12,10000,fedit>flora>ffa_lora,l3
3,unpaired,ffa_lora-flora,0.0306610309159292,0.0,0.0,0.00038399837067659573,0,12,10000,fedit>flora>ffa_lora,l3
