k,protocol,pair,true_gap,prob_order_flip,wilson_lo,wilson_hi,single_draw_sign_flips,single_draw_n,B,ref_order,model,label
1,paired,fedit-ffa_lora,-0.030508495320906492,0.0,0.0,0.00038399837067659573,0,20,10000,flora>fedit>ffa_lora,l3,I10_p10
1,paired,fedit-flora,0.0006742403490616056,0.7001,0.6910437299753479,0.7090025938767072,14,20,10000,flora>fedit>ffa_lora,l3,I10_p10
1,paired,ffa_lora-flora,0.031182735669968098,0.0,0.0,0.00038399837067659573,0,20,10000,flora>fedit>ffa_lora,l3,I10_p10
1,unpaired,fedit-ffa_lora,-0.030508495320906492,0.0,0.0,0.00038399837067659573,0,20,10000,flora>fedit>ffa_lora,l3,I10_p10
1,unpaired,fedit-flora,0.0006742403490616056,0.5994,0.5897593825702471,0.6089642785536625,14,20,10000,flora>fedit>ffa_lora,l3,I10_p10
1,unpaired,ffa_lora-flora,0.031182735669968098,0.0,0.0,0.00038399837067659573,0,20,10000,flora>fedit>ffa_lora,l3,I10_p10
2,paired,fedit-ffa_lora,-0.030508495320906492,0.0,0.0,0.00038399837067659573,0,20,10000,flora>fedit>ffa_lora,l3,I10_p10
2,paired,fedit-flora,0.0006742403490616056,0.5334,0.5236111126736522,0.5431632362351866,14,20,10000,flora>fedit>ffa_lora,l3,I10_p10
2,paired,ffa_lora-flora,0.031182735669968098,0.0,0.0,0.00038399837067659573,0,20,10000,flora>fedit>ffa_lora,l3,I10_p10
2,unpaired,fedit-ffa_lora,-0.030508495320906492,0.0,0.0,0.00038399837067659573,0,20,10000,flora>fedit>ffa_lora,l3,I10_p10
2,unpaired,fedit-flora,0.0006742403490616056,0.5277,0.5179064665524411,0.5374722599378232,14,20,10000,flora>fedit>ffa_lora,l3,I10_p10
2,unpaired,ffa_lora-flora,0.031182735669968098,0.0,0.0,0.00038399837067659573,0,20,10000,flora>fedit>ffa_lora,l3,I10_p10
3,paired,fedit-ffa_lora,-0.030508495320906492,0.0,0.0,0.00038399837067659573,0,20,10000,flora>fedit>ffa_lora,l3,I10_p10
3,paired,fedit-flora,0.0006742403490616056,0.4933,0.48350551396505204,0.503099631613115,14,20,10000,flora>fedit>ffa_lora,l3,I10_p10
3,paired,ffa_lora-flora,0.031182735669968098,0.0,0.0,0.00038399837067659573,0,20,10000,flora>fedit>ffa_lora,l3,I10_p10
3,unpaired,fedit-ffa_lora,-0.030508495320906492,0.0,0.0,0.00038399837067659573,0,20,10000,flora>fedit>ffa_lora,l3,I10_p10
3,unpaired,fedit-flora,0.0006742403490616056,0.4825,0.47271478255715726,0.49229865738581624,14,20,10000,flora>fedit>ffa_lora,l3,I10_p10
3,unpaired,ffa_lora-flora,0.031182735669968098,0.0,0.0,0.00038399837067659573,0,20,10000,flora>fedit>ffa_lora,l3,I10_p10
