exp,model,het,method,tag,data_seed,run_seed,torch,cuda,transformers,peft,datasets,gpu,path
vp_tl_fedit_a05,tl,a05,fedit,prod_v2,2004,7002,2.2.0+cu121,12.1,4.45.2,0.10.0,2.18.0,NVIDIA GeForce RTX 4090,results/raw/vp_tl_fedit_a05/fedit/seed_2004_run7002/prod_v2/20260919_055935
vp_tl_fedit_a05,tl,a05,fedit,prod_v2,2003,7001,2.2.0+cu121,12.1,4.45.2,0.10.0,2.18.0,NVIDIA GeForce RTX 4090,results/raw/vp_tl_fedit_a05/fedit/seed_2003_run7001/prod_v2/20260919_042305
vp_tl_fedit_a05,tl,a05,fedit,prod_v2,2002,7001,2.11.0+cu128,12.8,4.45.2,0.10.0,2.18.0,NVIDIA GeForce RTX 4090,results/raw/vp_tl_fedit_a05/fedit/seed_2002_run7001/prod_v2/20260919_031851
vp_tl_fedit_a05,tl,a05,fedit,prod_v2,2005,7002,2.14.0+cu130,13.0,4.45.2,0.10.0,2.18.0,NVIDIA GeForce RTX 4090,results/raw/vp_tl_fedit_a05/fedit/seed_2005_run7002/prod_v2/20260919_064757
vp_tl_fedit_a05,tl,a05,fedit,prod_v2,2010,7001,2.14.0+cu130,13.0,4.45.2,0.10.0,2.18.0,NVIDIA GeForce RTX 4090,results/raw/vp_tl_fedit_a05/fedit/seed_2010_run7001/prod_v2/20260919_111122
vp_tl_fedit_a05,tl,a05,fedit,prod_v2,2009,7001,2.2.0+cu121,12.1,4.45.2,0.10.0,2.18.0,NVIDIA GeForce RTX 4090,results/raw/vp_tl_fedit_a05/fedit/seed_2009_run7001/prod_v2/20260919_102400
vp_tl_fedit_a05,tl,a05,fedit,prod_v2,2007,7002,2.2.0+cu121,12.1,4.45.2,0.10.0,2.18.0,NVIDIA GeForce RTX 4090,results/raw/vp_tl_fedit_a05/fedit/seed_2007_run7002/prod_v2/20260919_085547
vp_tl_fedit_a05,tl,a05,fedit,prod_v2,2006,7002,2.11.0+cu128,12.8,4.45.2,0.10.0,2.18.0,NVIDIA GeForce RTX 4090,results/raw/vp_tl_fedit_a05/fedit/seed_2006_run7002/prod_v2/20260919_084224
vp_tl_fedit_a05,tl,a05,fedit,prod_v2,2008,7001,2.11.0+cu128,12.8,4.45.2,0.10.0,2.18.0,NVIDIA GeForce RTX 4090,results/raw/vp_tl_fedit_a05/fedit/seed_2008_run7001/prod_v2/20260919_100934
vp_tl_fedit_a05,tl,a05,fedit,prod_v2,2001,7001,2.14.0+cu130,13.0,4.45.2,0.10.0,2.18.0,NVIDIA GeForce RTX 4090,results/raw/vp_tl_fedit_a05/fedit/seed_2001_run7001/prod_v2/20260919_015527
vp_tl_fedit_a05,tl,a05,fedit,prod_v2,2004,7001,2.14.0+cu130,13.0,4.45.2,0.10.0,2.18.0,NVIDIA GeForce RTX 4090,results/raw/vp_tl_fedit_a05/fedit/seed_2004_run7001/prod_v2/20260919_052003
vp_tl_fedit_a05,tl,a05,fedit,prod_v2,2003,7002,2.11.0+cu128,12.8,4.45.2,0.10.0,2.18.0,NVIDIA GeForce RTX 4090,results/raw/vp_tl_fedit_a05/fedit/seed_2003_run7002/prod_v2/20260919_054541
vp_tl_fedit_a05,tl,a05,fedit,prod_v2,2002,7002,2.14.0+cu130,13.0,4.45.2,0.10.0,2.18.0,NVIDIA GeForce RTX 4090,results/raw/vp_tl_fedit_a05/fedit/seed_2002_run7002/prod_v2/20260919_033944
vp_tl_fedit_a05,tl,a05,fedit,prod_v2,2005,7001,2.11.0+cu128,12.8,4.45.2,0.10.0,2.18.0,NVIDIA GeForce RTX 4090,results/raw/vp_tl_fedit_a05/fedit/seed_2005_run7001/prod_v2/20260919_071453
