row_kind,label,model,het,method,data_seed,run_seed,heldout_quarantined,heldout_retrained,delta_retrained_minus_quarantined,torch_quarantined,sd_pair_ref,n,mean_delta,sd_delta,min_delta,max_delta,mean_abs_delta
summary,all,all,,,,,,,0.0002337279178662937,,,54,0.0002337279178662937,0.00041102128073125657,-1.2060983074491105e-06,0.001336048888401109,0.00023390755127038765
summary,l3/a01,l3,a01,,,,,,0.0008416423295961817,,,15,0.0008416423295961817,0.0003021662151443188,0.00020566223329288036,0.001336048888401109,0.0008416423295961817
summary,tl/a05,tl,a05,,,,,,-8.531741443244064e-08,,,39,-8.531741443244064e-08,2.679236146781957e-07,-1.2060983074491105e-06,7.839247533336646e-07,1.634057604668544e-07
summary,l3,l3,,,,,,,0.0008416423295961817,,,15,0.0008416423295961817,0.0003021662151443188,0.00020566223329288036,0.001336048888401109,0.0008416423295961817
summary,tl,tl,,,,,,,-8.531741443244064e-08,,,39,-8.531741443244064e-08,2.679236146781957e-07,-1.2060983074491105e-06,7.839247533336646e-07,1.634057604668544e-07
pair,l3/a01,l3,a01,fedit,2007,7001,1.797139433667916,1.79812866703183,0.0009892333639138773,2.14.0+cu130,0.0077,1,0.0009892333639138773,,0.0009892333639138773,0.0009892333639138773,0.0009892333639138773
pair,l3/a01,l3,a01,fedit,2008,7001,1.8051823232062807,1.806069935271073,0.0008876120647922647,2.11.0+cu128,0.0077,1,0.0008876120647922647,,0.0008876120647922647,0.0008876120647922647,0.0008876120647922647
pair,l3/a01,l3,a01,fedit,2008,7002,1.8056900174917263,1.8066053217805558,0.000915304288829466,2.14.0+cu130,0.0077,1,0.000915304288829466,,0.000915304288829466,0.000915304288829466,0.000915304288829466
pair,l3/a01,l3,a01,fedit,2009,7002,1.822389432791983,1.8235481176795698,0.0011586848875868583,2.11.0+cu128,0.0077,1,0.0011586848875868583,,0.0011586848875868583,0.0011586848875868583,0.0011586848875868583
pair,l3/a01,l3,a01,fedit,2010,7001,1.800216919855089,1.8011359550374224,0.0009190351823333831,2.14.0+cu130,0.0077,1,0.0009190351823333831,,0.0009190351823333831,0.0009190351823333831,0.0009190351823333831
pair,l3/a01,l3,a01,ffa_lora,2007,7001,1.831651556076032,1.8321410039430708,0.0004894478670387503,2.14.0+cu130,0.0077,1,0.0004894478670387503,,0.0004894478670387503,0.0004894478670387503,0.0004894478670387503
pair,l3/a01,l3,a01,ffa_lora,2008,7001,1.8291724407979757,1.8296956983069765,0.0005232575090008407,2.11.0+cu128,0.0077,1,0.0005232575090008407,,0.0005232575090008407,0.0005232575090008407,0.0005232575090008407
pair,l3/a01,l3,a01,ffa_lora,2008,7002,1.8290401860263998,1.8295801465787167,0.0005399605523168649,2.14.0+cu130,0.0077,1,0.0005399605523168649,,0.0005399605523168649,0.0005399605523168649,0.0005399605523168649
pair,l3/a01,l3,a01,ffa_lora,2009,7002,1.8339339095883218,1.8345490774842836,0.0006151678959618323,2.11.0+cu128,0.0077,1,0.0006151678959618323,,0.0006151678959618323,0.0006151678959618323,0.0006151678959618323
pair,l3/a01,l3,a01,ffa_lora,2010,7001,1.840427674986977,1.84063333722027,0.00020566223329288036,2.14.0+cu130,0.0077,1,0.00020566223329288036,,0.00020566223329288036,0.00020566223329288036,0.00020566223329288036
pair,l3/a01,l3,a01,flora,2007,7001,1.8038483943535064,1.8047873293751906,0.0009389350216841841,2.14.0+cu130,0.0077,1,0.0009389350216841841,,0.0009389350216841841,0.0009389350216841841,0.0009389350216841841
pair,l3/a01,l3,a01,flora,2008,7001,1.796370754508433,1.797363635301476,0.0009928807930428274,2.11.0+cu128,0.0077,1,0.0009928807930428274,,0.0009928807930428274,0.0009928807930428274,0.0009928807930428274
pair,l3/a01,l3,a01,flora,2008,7002,1.7972722287333796,1.7986082776217807,0.001336048888401109,2.14.0+cu130,0.0077,1,0.001336048888401109,,0.001336048888401109,0.001336048888401109,0.001336048888401109
pair,l3/a01,l3,a01,flora,2009,7002,1.7997958131253105,1.8008745662914842,0.0010787531661737848,2.11.0+cu128,0.0077,1,0.0010787531661737848,,0.0010787531661737848,0.0010787531661737848,0.0010787531661737848
pair,l3/a01,l3,a01,flora,2010,7001,1.8043874669992972,1.805422118228871,0.001034651229573802,2.14.0+cu130,0.0077,1,0.001034651229573802,,0.001034651229573802,0.001034651229573802,0.001034651229573802
pair,tl/a05,tl,a05,fedit,2001,7001,1.6910635983174749,1.691063778934783,1.8061730822083177e-07,2.14.0+cu130,0.00108,1,1.8061730822083177e-07,,1.8061730822083177e-07,1.8061730822083177e-07,1.8061730822083177e-07
pair,tl/a05,tl,a05,fedit,2002,7001,1.6920081674586107,1.6920082288318512,6.137324048971493e-08,2.11.0+cu128,0.00108,1,6.137324048971493e-08,,6.137324048971493e-08,6.137324048971493e-08,6.137324048971493e-08
